sample_id,lat,lon,elevation,slope_deg,aspect_deg,drainage_density,lithology,landuse,mean_annual_rainfall_mm,label,district,date,landslide_type,area_m2,curvature,distance_to_drainage,terrain_ruggedness
NEG-0326,27.316589,88.596876,1199.9,19.85,307.65,0.0235,,forest,5646.5,0,,,,,0.004398,290.9,27.76
NEG-0327,27.28322,88.093267,2071.4,42.6,127.45,0.0,,grassland,3230.7,0,,,,,-0.009903,611.5,65.68
NEG-0328,27.857191,88.54466,3657.5,16.56,185.99,0.2824,,grassland,3898.2,0,,,,,-0.013943,178.8,25.04
NEG-0329,27.731848,88.739537,3210.9,5.7,128.37,0.1529,,bare/sparse vegetation,2074.4,0,,,,,-0.002149,29.4,7.31
NEG-0330,27.169623,88.197688,1584.8,28.54,169.25,0.0471,,built-up,6539.8,0,,,,,-0.002686,264.5,39.63
NEG-0331,27.245134,88.606294,1317.4,19.37,319.74,0.0,,forest,4710.2,0,,,,,-0.000137,611.5,25.84
NEG-0332,27.19322,88.447575,878.0,43.64,140.64,0.0,,forest,4697.2,0,,,,,0.010508,323.3,68.86
NEG-0333,27.36906,88.233046,1945.8,42.83,170.59,0.1294,,forest,4828.2,0,,,,,0.010412,146.9,67.62
NEG-0334,27.235991,88.437657,1058.3,23.49,94.73,0.0706,,forest,5391.0,0,,,,,0.002773,251.1,31.41
NEG-0335,27.316847,88.843277,4099.2,19.82,111.82,0.0,,grassland,3480.4,0,,,,,0.001062,705.3,26.27
NEG-0336,27.242378,88.334689,1186.9,18.69,314.51,0.2588,,forest,4334.1,0,,,,,0.009406,29.4,25.65
NEG-0337,27.230378,88.337236,1815.5,35.2,337.65,0.0,,forest,4235.8,0,,,,,0.011802,966.7,52.43
NEG-0338,27.341494,88.472165,779.9,29.3,59.93,0.1529,,forest,7199.1,0,,,,,-0.000401,176.3,40.27
NEG-0339,27.198352,88.387529,1681.5,34.22,290.56,0.0,,forest,4643.9,0,,,,,-0.006774,411.4,49.24
NEG-0340,27.664499,88.729227,2538.5,13.9,201.89,0.3176,,bare/sparse vegetation,2397.9,0,,,,,-0.005033,58.8,18.69
NEG-0341,27.120798,88.150467,1171.8,21.09,232.48,0.0,,forest,5392.7,0,,,,,0.00871,529.8,29.18
NEG-0342,27.127528,88.160119,1021.4,19.35,90.62,0.0,,forest,5688.4,0,,,,,0.003175,473.9,26.41
NEG-0343,27.353238,88.349179,1958.9,21.24,280.96,0.0,,forest,5422.6,0,,,,,-0.002966,647.2,28.08
NEG-0344,27.215696,88.599026,1221.0,22.95,44.23,0.0,,forest,4066.6,0,,,,,-0.002874,558.4,31.19
NEG-0345,27.127084,88.432406,1029.7,19.44,69.62,0.4,,forest,3935.1,0,,,,,0.007163,58.8,26.06
NEG-0346,27.462532,88.530852,1162.9,14.56,324.22,0.0,,forest,7108.3,0,,,,,0.003044,489.1,18.77
NEG-0347,27.223302,88.68436,850.1,42.36,168.39,0.1765,,forest,4134.5,0,,,,,-0.015059,131.4,67.17
NEG-0348,27.4054,88.504576,1244.3,17.83,63.8,0.0,,forest,6699.6,0,,,,,0.009738,408.3,24.42
NEG-0349,27.298617,88.365257,2102.6,9.86,293.58,0.0,,built-up,4836.4,0,,,,,-0.001709,1103.1,13.36
NEG-0350,27.240952,88.246281,1217.2,20.4,354.75,0.1529,,forest,4904.5,0,,,,,-0.006262,83.1,28.51
NEG-0351,27.534362,88.487837,1008.6,35.1,57.28,0.1059,,forest,7487.4,0,,,,,0.004019,197.1,50.72
NEG-0352,27.321324,88.17802,1707.3,32.96,110.66,0.0118,,forest,4946.5,0,,,,,0.0083,236.9,47.23
NEG-0353,27.733089,88.549366,2720.5,29.32,129.26,0.0235,,grassland,4394.2,0,,,,,-0.007947,312.4,42.6
NEG-0354,27.286462,88.468386,1666.2,17.55,259.26,0.0,,forest,6144.2,0,,,,,0.00147,264.5,23.36
NEG-0355,27.167455,88.171031,1589.1,15.22,279.03,0.0,,forest,6475.5,0,,,,,0.001798,822.9,20.07
NEG-0356,27.439172,88.518492,942.8,24.22,227.8,0.2,,forest,6523.2,0,,,,,0.002272,58.8,33.27
NEG-0357,27.226054,88.282917,1471.9,24.44,93.57,0.0,,forest,4109.9,0,,,,,0.00238,335.1,33.04
NEG-0358,27.303894,88.410151,1650.6,20.9,87.54,0.0,,forest,6084.3,0,,,,,-0.005954,748.1,28.03
