Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
MEG/WJH/83C4/2016/79,Meghalaya,East Jaintia Hills,0.91km NNW of Rathacherra,NH44,25.042408,92.434525,,,,Suspended
ME/EKJ/78O14/2015/09,Meghalaya,East Khasi Hills, ,Near Umsohpho(Bhoitumbong road),25.668469,91.975083,,,,Active
MEG/WJH/83C4/2016/108,Meghalaya,East Jaintia Hills,2.06 km SW of Sonapyrdi,Approach road Sonapur to Chapalong (right bank of Lubha river),25.113475,92.350506,,,,Suspended
 ,Meghalaya,East Jaintia Hills,,,25.16400556,92.38702778,Debris,Slide,It is a new slide,Active
MEG/WJH/83C4/2016/63,Meghalaya,East Jaintia Hills,0.41 km NE of Danaubluh,Nh44,25.044733,92.423675,,,,Dormant
MEG/WJH/83C4/2016/68,Meghalaya,East Jaintia Hills,0.96 km NNE of Tongseng,NH44,25.134972,92.380278,,,,Reactivated
MEG/WJH/83C4/2016/82,Meghalaya,East Jaintia Hills,0.24 km NE of Danaubluh,NH44,25.045111,92.4215,,,,Suspended
MG/EKH/78O12/2017/51,Meghalaya,East Khasi Hills, ,Along Mawlong  Tyrna road,25.228272,91.687776,,,,Active
MG/WKH/78O02/2017/36,Meghalaya,West Khasi Hills,0.8 km NN of Mawiawban,Link road from NH44E from Mawliehdein,25.549667,91.242444,,,,Suspended
MEG/WJH/83C4/2016/38,Meghalaya,West Jaintia Hills,1.37 km NW of Lympyngad,Muktapur ΓÇô Lympyngad road,25.152367,92.195708,,,,Suspended
MEGH/WKH/78O02/2007/D-2,Meghalaya,West Khasi Hills,Tynrong Mawsaw slide, ,25.69483,91.11836,,,, 
MEGH/WKH/78O07/2007/D-11,Meghalaya,West Khasi Hills,Rangjadong slide, ,25.31488,91.33367,,,, 
ME/EKJ/78O15/2015/129,Meghalaya,East Khasi Hills, ,Myllad approach raod,25.326694,91.933972,,,,Active
MG/SWK/78O04/2017/5,Meghalaya,South West Khasi  Hills, ,AlongNonghyllam  Ranikor road,25.221572,91.185833,,,,Active
MG/EJH/83C11/2018/11,Meghalaya,East Jaintia Hills,Daistong slide no 4,2 km north of Daistong,25.339339,92.584781,,,,Active
MEG/RIB/78O09/2016/40,Meghalaya,Ri-Bhoi,Jirang village slide1,Patharkhamma Guwahati road 2 km NW of Jirang village,25.945225,91.560703,,,,Dormant
MEGH/EKH/78O15/2008/D-58,Meghalaya,East Khasi Hills,Mawkajem-5 slide, ,25.422194,91.869222,,,, 
MEG/WKH/78O10/2016/50,Meghalaya,West Khasi Hills, ,NongkhlawPatharkhammah road  1 km SW of Ladpanai vilalge,25.795444,91.662111,,,,Active
ME/EKJ/78O15/2015/82,Meghalaya,East Khasi Hills, ,Near Mawlat village,25.360351,91.974979,,,,Active
MG/WKH/78O03/2017/17,Meghalaya,West Khasi Hills,Mawlangriang,Nongstoin  Riangpoit road,25.496861,91.198556,,,,Suspended
 ,Meghalaya,East Khasi Hills,,,25.44835,91.59150278,Debris,Slide,"As per the information by Mr. Tobias Mawlong, the Head man  of  Laitlarem  village,  the  slide  was  triggered  before also. The slide is a reactivated slide. The present landslide occurred at 10.00 hrs on 15th June 2022.The date and year
of the previou",Reactivated
