Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
AP/LDV/82P16/2022/111,Arunachal Pradesh,Lower Dibang Valley, From Hunli 12.2 km along HMH road,Hunli-Metengliang-Hayuliang (HMH) road,28.315484,95.982181,,,,Active
AP/PAP/83E12/2021/69,Arunachal Pradesh,Papum Pare,Peech-Hoj village slide,Peech-Hoj village,27.207583,93.615667,,,,Dormant
AP/KK/83E09/2021/21,Arunachal Pradesh,Kurung Kumey,Relung New camp slide 1,NW of Relung New camp,27.866083,93.467306,,,,Active
AR/WS/83I13/2022/091,Arunachal Pradesh,West Siang,S of Rilu village Slide,Near Rilu village,27.839817,94.778642,,,,Active
AR/ES/82P04/2022/003,Arunachal Pradesh,East Siang,NH-13 Slide 3,NH-13,28.147806,95.224833,,,,Active
AR/ANJ/91D11/2014/31,Arunachal Pradesh,Anjaw, ,H. M. C. Road,28.26814,96.55728,,,,Suspended
AP/AW/91D8/2022/94,Arunachal Pradesh,Anjaw,From Khupa/ KVK Anjaw 6 kms along HMH road towards Hunli,Hunli-Metengliang-Hayuliang (HMH) road,28.089549,96.457818,,,,Active
AR/LOH/92A05/2014/50,Arunachal Pradesh,Lohit, ,NH-52,27.91636,96.33392,,,,Suspended
AP/EK/83E03/2021/45,Arunachal Pradesh,East Kameng,Rang Village  slide-3,"NH-31, Patiwa Village",27.297167,93.050889,,,,Active
AR/TIR/83N09/2022/017,Arunachal Pradesh,Tirap,3.7 km SE of Sanliam,Khonsa-Lazu road,26.904294,95.549313,,,,Active
AR/ES/82P04/2022/008,Arunachal Pradesh,East Siang,Pasighat-Yingkiong road Slide 1,NH-13 (Pasighat-Yingkiong road),28.169611,95.240639,,,,Active
AR/US/82P02/2022/061,Arunachal Pradesh,Upper Siang,Yingkiong road Slide 4,NH-513,28.615028,95.053306,,,,Active
AP/EK/83E03/2021/17,Arunachal Pradesh,East Kameng,NH-31 slide-8,NH-36,27.302861,93.050917,,,,Active
AP/E-Siang/82P8/2022/LS36,Arunachal Pradesh,Lower Dibang Valley,LS-36,"NH-13, NE of Siluk village",28.269062,95.610767,,,,Active
AR/ANJ/92A05/2014/54,Arunachal Pradesh,Anjaw, ,Tezu-Hayuliang road,27.98728,96.41208,,,,Reactivated
AR/ESI/82L15/2022/61,Arunachal Pradesh,East Siang,Boleng-Dite Dime Road Slide,Boleng-Dite Dime Road,28.342551,94.987136,,,,Active
AR/ANJ/91D11/2014/38,Arunachal Pradesh,Anjaw, ,H. M. C. Road,28.25203,96.54264,,,,Suspended
AP/US/83E09/2021/12,Arunachal Pradesh,Upper Subansiri,Hebang village slide,Hebang village,27.833306,93.978611,,,,Active
AP/DV/82P/13/2022/LS-114,Arunachal Pradesh,Dibang Valley, Marwali Slide,Marwali village.,28.775779,95.890362,,,,Active
AR/EK/ 83A14/2020-21/07,Arunachal Pradesh,East Kameng,Pachi-Chayang Tajo road section slide-2,Pachi-Chayang Tajo road section,27.574306,92.999556,,,,Active
AP/DV/82P/13/2022/LS-134,Arunachal Pradesh,Dibang Valley,Dambuen Slide,Anini-Dambuen road corridor 8 km mile stone,28.852213,95.863907,,,,Active
AP/E-Siang/82P8/2021/LS7,Arunachal Pradesh,East Siang,LS-7,NH-13,28.099705,95.284891,,,,Active
AR/WKG/83A03/2021/032,Arunachal Pradesh,West Kameng,NH 13 Slide 29,NH 13/ S of Nyakmadung,27.405861,92.133778,,,,Active
AP/PAP/83E12/2021/9,Arunachal Pradesh,Papum Pare,Naharlagun Railway station slide 1,NE Naharlagun Railway station,27.16,93.739167,,,,Active
AR/LPD/82L12/2021/01,Arunachal Pradesh,Leparada,Tirbin-Tai Road slide,South of Tirbin-Tai Road,28.014765,94.569467,,,,Suspended
AP/E-Siang/82P8/2022/LS54,Arunachal Pradesh,East Siang,LS-54,NH-13,28.143839,95.285971,,,,Active
AR/ESI/82L15/2022/55,Arunachal Pradesh,East Siang,Sangram Bridge-Boleng Road Slide,Sangram Bridge-Boleng Road,28.265963,94.983464,,,,Active
AR/CHNG/92A07/2022/074,Arunachal Pradesh,Changlang,"Deban, Namdapha Natonal Park",Miao-Vijyanagar road,27.453197,96.444944,,,,Active
AP/LDV/82P11/2022/LS58,Arunachal Pradesh,East Siang,Dambuk Slide,"NH-13, Dambuk",28.150741,95.275122,,,,Active
AP/E-Siang/82P8/2021/LS4,Arunachal Pradesh,East Siang,LS-4,LS-4,28.099376,95.27268,,,,Active
AR/WKG/78M14/2021/001,Arunachal Pradesh,Tawang,NH 13 Slide 34,NH 13/ S of Jangda,27.591417,91.973083,,,,Reactivated
AR/WKG/83A12/2021/007,Arunachal Pradesh,West Kameng,NH 13 Slide 5,NH 13,27.153056,92.56175,,,,Active
AR/WKG/83A07/2021/018,Arunachal Pradesh,West Kameng,NH 13 Slide 15,NH 13/ S of Tinghei,27.293806,92.391694,,,,Active
AR/USI/82L14/2022/34,Arunachal Pradesh,Upper Siang,Gette-Pugging Road Slide,Gette-Pugging Road,28.720187,94.971636,,,,Active
AP/PAP/83E12/2021/59,Arunachal Pradesh,Papum Pare,West of Dakte village slide 3,W of Dakte village,27.239333,93.745,,,,Active
AR/US/82P04/2022/042,Arunachal Pradesh,Upper Siang,Pasi-Tinali Slide 1,NH 513,28.386722,95.240833,,,,Active
AP/DV/82P/13/2022/LS-109,Arunachal Pradesh,Dibang Valley, Mipi slide,South of Mipi village,28.763802,95.868513,,,,Active
AR/LOH/92A05/2014/07,Arunachal Pradesh,Lohit, ,Tohangam-Hayuliang Road,27.91886,96.33156,,,,Active
AR/WKG/83A12/2021/048,Arunachal Pradesh,West Kameng,NH 13 Slide 33,NH 13/ Sedal,27.1105,92.537444,,,,Active
AR/ANJ/91D12/2014/53,Arunachal Pradesh,Anjaw,Khupapolice check gate,Tezu-Hayuliang road,28.06356,96.50075,,,,Suspended
AP/WSG/83I09/2021/118,Arunachal Pradesh,West Siang,Likabali petrol pump slide,Likabali petrol pump,27.662194,94.702667,,,,Active
AR/US/82P04/2022/013,Arunachal Pradesh,Upper Siang,Yagrung village Slide 1,Yagrung village,28.013167,95.239333,,,,Active
AP/LDV/82P15/2022/18,Arunachal Pradesh,Lower Dibang Valley,500 m south from landslide no. 44,Newly connstructing Roing-Hunli/ Anini road NH-313,28.252507,95.781741,,,,Active
AP/WSG/83I09/2021/112,Arunachal Pradesh,West Siang,Magi-Likabali road section slide 1,Magi-Likabali road section,27.70625,94.673833,,,,Suspended
AR/ES/82P04/2022/010,Arunachal Pradesh,East Siang,Pasighat-Yingkiong road Slide 3,NH-513,28.169583,95.223917,,,,Active
AP/EK/83E03/2021/10,Arunachal Pradesh,East Kameng,NH-31 slide-1,NH-31,27.325861,93.055472,,,,Active
AR/LPD/82L12/2021/02,Arunachal Pradesh,Leparada,Tirbin-Tai Road slide,South of Tirbin-Tai Road,28.013577,94.568456,,,,Suspended
AR/TIR/83N05/2022/009,Arunachal Pradesh,Tirap,4 km SW of Pangchau,Longding-Khonsa road,26.93529,95.37696,,,,Active
AP/LDV/82P16/2022/78,Arunachal Pradesh,Lower Dibang Valley,From Bomjir 13.6 kms along NH-13 towards Pasighat, NH-313 (Roing-Pasighat road),28.249718,95.546273,,,,Active
AR/EK/ 83A14/2020-21/15,Arunachal Pradesh,East Kameng,Pakke-Tara road section slide-5,Pakke-Bameng road section,27.571111,92.965556,,,,Inactive
AP/LDV/82P16/2022/64,Arunachal Pradesh,Lower Dibang Valley, From Roing 12.6 kms along NH-313 towards Mayudia Pass, NH-313 (Roing-Anini road),28.193864,95.805469,,,,Active
AP/WSG/83I09/2021/99,Arunachal Pradesh,West Siang,Garo- Basar road slide 7,Garo-Basar road section,27.794333,94.73075,,,,Active
AP/DV/82P15/2022/122,Arunachal Pradesh,Dibang Valley, From Hunli 56 kms along NH-313 towards Anini, NH-313 (Roing-Anini road),28.498464,95.828278,,,,Active
AR/ESI/82L15/2022/59,Arunachal Pradesh,East Siang,Sangram Bridge-Boleng Road Slide,Sangram Bridge-Boleng Road,28.287317,94.947651,,,,Active
AP/ES/82P12/2022/76,Arunachal Pradesh,East Siang,From Bomjir 17.6 kms along NH-13 towards Pasighat, NH-313 (Roing-Pasighat road),28.227891,95.541082,,,,Active
AP/LDV/82P16/2022/29,Arunachal Pradesh,Lower Dibang Valley, Mayudia Pass landslide. From Mayudia Pass 0.3 kms along NH-313 towards Hunli, NH-313 (Roing-Anini road),28.242782,95.922731,,,,Active
AP/EK/83E03/2021/04,Arunachal Pradesh,East Kameng,North Seppa slide-4,North Seppa,27.422111,93.014639,,,,Active
AP/LDV/82P16/2022/119,Arunachal Pradesh,Lower Dibang Valley, From Hunli 2.4 km along HMH road,Hunli-Metengliang-Hayuliang (HMH) road,28.487904,95.84071,,,,Active
AR/EK/ 83A14/2020-21/08,Arunachal Pradesh,East Kameng,Pakke road section slide-6,Pachhi-Pakke road section,27.543778,92.982806,,,,Active
AP/AW/91D8/2022/89,Arunachal Pradesh,Anjaw,From Khupa/ KVK Anjaw 10.6 kms along HMH road towards Hunli,Hunli-Metengliang-Hayuliang (HMH) road,28.100284,96.449538,,,,Active
AP/US/83E09/2021/15,Arunachal Pradesh,Upper Subansiri,Luba village slide 4,Luba village,27.840167,93.980861,,,,Active
ARN/TWNG/78M14/2016/0006,Arunachal Pradesh,Tawang,Nyungmadung Slide, ,27.591528,91.880444,,,,Active
AP/E-Siang/82P8/2022/LS41,Arunachal Pradesh,Dibang Valley,LS-41,"NH-13, Komlighat park, Pasighat bridge slide",28.760937,95.865649,,,,Active
AP/EK/83E03/2021/27,Arunachal Pradesh,East Kameng,NH-31 slide-18,"NH-31, Ngoleko Village",27.215611,93.123139,,,,Active
AR/LON/83N06/2022/003,Arunachal Pradesh,Longding,800 m S of Bonia,Longding-Konsa road,26.736494,95.261822,,,,Active
AP/DV/82P15/2022/146,Arunachal Pradesh,Dibang Valley, From Hunli 43.45 kms along NH-313 towards Anini, NH-313 (Roing-Anini road),28.454481,95.854029,,,,Dormant
AR/US/82P02/2022/076,Arunachal Pradesh,Upper Siang,Jengging Slide 1,NH-513,28.550472,95.06325,,,,Active
AR/US/82P02/2022/071,Arunachal Pradesh,Upper Siang,West of Kolung Slide 5,NH-513(Mariyang-Yingkiong road),28.540139,95.168667,,,,Active
AP/DV/82P15/2022/145,Arunachal Pradesh,Dibang Valley, From Hunli 43.5 kms along NH-313 towards Anini, NH-313 (Roing-Anini road),28.455284,95.854018,,,,Dormant
AP/DV/83P/14/2022/LS-101,Arunachal Pradesh,Lower Dibang Valley,<Null>,NH-313,28.266795,95.607261,,,,Active
AP/E-Siang/82P8/2022/LS39,Arunachal Pradesh,Dibang Valley,LS-39,"NH-13, Pasighat river slide",28.608016,95.854035,,,,Active
