Sl_No,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History
63,AS/JOR/83J06/2020/13,Assam,Jorhat, ,NH702D (Before Tsetapda Gate),26.6,94.35,Rock,Slide,
64,AS/NAG/83F02/2018/4,Assam,Nagaon,NH-37 slide-1,"NH-37, 1 km west of Kaziranga view point.",26.57455,93.11244,Debris,Slide,
65,AS/DIM/83G07/2017/61,Assam,Dima Hasao,Sengya Sambhudhan school slide No.2,Approx. 500 m south of Sengya Sambhudhan school,25.435639,93.405944,Debris,Slide,
66,AS/DIM/83G07/2017/57,Assam,Dima Hasao,Daoblibdisa market slide No.3,Near Daoblibdisa market,25.437111,93.403639,Soil,Slide,
67, ,Assam,Cachar,,,24.72192,92.90381,,,"During the time  of  investigation,  it  was informed  by  the  residents  that  since  3
years, the slide has been occurring continuously during monsoon season."
68,AS/CHR/83D05/2020/2,Assam,Cachar,Tarapur slide,Tarapur,24.99,92.45,Debris,Slide,
69,AS/DIM/83G07/2017/34,Assam,Dima Hasao,Kepre Tongikro Mongjang slide No.4,Kepre Tongikro Mongjang road section.,25.423861,93.369417,Debris,Slide,
70,AS/DIH/83G08/2020/34,Assam,Dima Hasao, ,"Along Jenam river, Laisong area",25.19,93.3,Rock,Slide,
71,ASM/WKA/83C09/2016/2,Assam,West Karbi Anglong,NE of Linsika,"SH-19, Donkamokam-Hamren road",25.90692,92.64714,Debris,Slide,
72,AS/DIM/83C16/2017/20,Assam,Dima Hasao,Bandarkhal5,NH54,25.056611,92.801722,Debris,Slide,
73,ASM/DH/83G4/2016/42,Assam,Dima Hasao,96 km Migrendisa slide,"96 km, Migrendisa - Haflong rail section, near Diyung bridge.",25.164,93.040194,Debris,Slide,
74,AS/HKN/83D11/2020/3,Assam,Hailakandi,Lalpani slide,NH - 154,24.44,92.56,Debris,Slide,
75,AS/DIH/83G08/2020/4,Assam,Dima Hasao, ,Laisong bazar to Chhota Laisong road,25.24,93.28,Debris,Slide,
76,AS/DIH/83G08/2020/45,Assam,Dima Hasao, ,"Along Jenam river, Laisong area",25.23,93.29,Debris,Slide,
77,AS/KAM/78N16/2007/B-1,Assam,Kamrup,Jyoti Nagar Slide, ,26.19167,91.79028, , ,
78,AS/KAR/83F11/2018/1,Assam,Karbi Anglong,Nahor Langso-1,Daigurung road,26.3478,93.7417,Soil,Slide,
79,AS/CHR/83D09/2020/1,Assam,Cachar,Sonbari Slide,Sonbari,24.96,92.66,Debris,Slide,
80,AS/DIM/83G4/2015/50,Assam,Dima Hasao,Heuwangbram,"Near Heuwangbram ,NH-54",25.201,93.122,Earth,Slide,
81,AS/DIM/83C16/2017/14,Assam,Dima Hasao,Paschim Bandarkhla2,West of Paschim Bandarkhal,25.063378,92.795536,Debris,Slide,
82,AS/CHR/83D13/2020/8,Assam,Cachar,Tikal Nadi,ONGC road,24.96,92.98,Debris,Slide,
83,AS/DIM/83G4/2015/24,Assam,Dima Hasao,Dedaodip slide,"Dedaodip,NH-54",25.404,93.132,Earth,Slide,
84,ASM/WKA/83B08/2017/45,Assam,West Karbi Anglong,Amsoi-Umpanai road slide No.5,~1.5 Km West of Umpanai. Sunani  - Umpanai road,25.946611,92.305361,Debris,Slide,
85,AS/KAM/78N16/2015/78,Assam,Kamrup,Garobasti,"Garobasti, 8th Mile, near Khanapara, Kamrup",26.115139,91.837833,Debris,Slide,
86,AS/DIH/83G08/2020/10,Assam,Dima Hasao, ,Hejaichak to Hangrum road,25.22,93.34,Debris,Slide,
87,ASM/DH/83G4/2016/05,Assam,Dima Hasao,Khongsai slide-1,"Khongsai village, Haflong",25.1775,93.026222,Earth,Slide,
88,AS/SON/83B09/2018/3,Assam,Sonitpur,Moroni slide,Bogijuli area,26.93362,92.70757,Soil,Slide,
89,AS/CAC/83H01/2018/43,Assam,Cachar,Bara Arkap_2,Raza Bazaar -Bara Arkap Highway.,24.99561,93.16261,Debris,Slide,
90,AS/KAR/83F07/2018/3,Assam,Karbi Anglong,Sartherang Juri Slide,Sartherang Juri,26.307972,93.275722,Soil,Slide,
91,AS/DIM/83G4/2015/51,Assam,Dima Hasao,Heuwangbram,"Near Heuwangbram ,NH-54",25.208,93.121,Earth,Slide,
92,ASM/KAR/83D06/2016/01,Assam,Karimganj,Rakhalbasti,"Rakhalbasti, Sonaicherra TG.",24.65939,92.49736,Earth,Slide,
93,AS/KAR/83G09/2017/10,Assam,Karbi Anglong,Hafjan Kidingpur5,DhansiriChiru Timung road,25.84512,93.56682,Debris,Slide,
94,AS/KAM/83B4/2015/90,Assam,Kamrup,Naukuchi,"Naukuchi, en-route to Magursila, Kamrup",26.080139,92.032667,Debris,Slide,
95,AS/KAR/83F06/2018/3,Assam,Karbi Anglong,Sapjuri-Dalamara road slide,Sapjuri-Dalamara road,26.59416,93.547361,Debris,Slide,
96,ASM/DH/83C16/2016/46,Assam,Dima Hasao,NH 54 Rekho slide- (1),"NH 54, near Rekho village, Dima Hasao",25.109417,92.88075,Debris,Slide,
97,ASM/NAG/83B08/2017/15,Assam,Nagaon,Amsoi-Amtrang road slide No.15,Amsoi- Amtrang road,26.113639,92.441222,Debris,Slide,
98,ASM/WKA/83B08/2017/34,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.31,"~1.2 Km North-East of Duronggaon, Amsoi- Amtrang road",26.016389,92.48225,Earth,Slide,
99,AS/DIM/83G07/2017/23,Assam,Dima Hasao,Digar nala slide No.3,Nobdi Langting-Darangbra road section.,25.416056,93.284222,Soil,Slide,
100,AS/CHR/83D14/2020/7,Assam,Cachar,Panibara slide,Panibara,24.62,92.84,Debris,Slide,
101,AS/DIM/83G4/2015/42,Assam,Dima Hasao,"Pura,NH-54",Pura,25.155,93.067,Earth,Slide,
102,ASM/DH/83G4/2016/11,Assam,Dima Hasao,N.D Raji (Hamar)-2,"N.D Raji (Hamar)village, Haflong",25.175056,93.020417,Debris,Slide,
103,ASM/WKA/83C09/2016/22,Assam,West Karbi Anglong,NE of Pangyatiso-3,Mikading-Pangyatiso-Ranghidi road,25.84967,92.69042,Earth cum Rock,Slide,
104,AS/SON/83B13/2018/1,Assam,Sonitpur,Phuloguri slide,"Phuloguri, Chengelimari area.",26.92216,92.7678,Debris,Slide,
105,AS/KAR/83G05/2017/15,Assam,Karbi Anglong,Matipung,Diphu,25.84444,93.45331,Soil cum debris,Slide,
106,AS/DIM/83G07/2017/65,Assam,Dima Hasao,Thingje-Hereilo slide No.1,Thingje-Hereilo  road section,25.263528,93.390611,Rock,Slide,
107,ASM/WKA/83C09/2016/8,Assam,West Karbi Anglong,Mt View English LP School,"Chinthong block, Baithalangso",25.965731,92.59267,Earth,Slide,
108,AS/DIM/83C16/2018/29,Assam,Dima Hasao,Bandarkhal railway slide.,Between NFR Bridge No. 305 and Tunnel No. 19 (~2 km SW of Bandarkhal Railway Station).,25.04783,92.78931,Debris,Slide,
109,AS/DIM/83G4/2015/29,Assam,Dima Hasao,NutanLeikul-2,"NutanLeikul, NH-54",25.137,93.04,Earth,Slide,
110,AS/KAR/83F03/2018/5,Assam,Karbi Anglong,Samelangso-Langlangso road slide-4,Samelangso-Langlangso road,26.302944,93.225389,Debris,Slide,
111,AS/SON/83F05/2018/1,Assam,Sonitpur,Balijan forest road slide-1,Balijan forest road,26.95266,93.44166,Debris,Slide,
112,AS/DIM/83C16/2017/58,Assam,Dima Hasao,Durbintola5,NH54,25.034948,92.778753,Debris,Slide,
113,ASM/DH/83G4/2016/34,Assam,Dima Hasao,Haflong - Gunjung road section slide-05,Haflong - Gunjung road section,25.232972,93.03325,Earth,Slide,
114,AS/KAM/78N12/2015/66,Assam,Kamrup,Jayguru Kalipahar,infront of IIT Guwahati approach,26.211111,91.684167,Rock cum Debris,Topple,
115,ASM/WKA/83C09/2016/34,Assam,West Karbi Anglong,Amtreng-2,N of Amtreng nala,25.98736,92.50083,Earth,Slide,
116,AS/CHR/83D14/2020/4,Assam,Cachar,Raj Nagar Slide,Raj Nagar,24.53,92.84,Debris,Slide,
117,AS/DIH/83G08/2020/28,Assam,Dima Hasao, ,Kipeilua village,25.23,93.34,Debris,Slide,
118,AS/DIM/83G4/2015/12,Assam,Dima Hasao,Silchar road slide,NH-54 near Jatinga.,25.108,93.003,Earth,Slide,
119,AS/SON/83B13/2018/5,Assam,Sonitpur,Nishi Phuloguri Howa River slide,GaroBasti,26.9174,92.77163,Debris,Slide,
120,AS/KAM/78N16/2015/75,Assam,Kamrup,Garogaon,"Garogaon Primary School, Barigog-Panbari, Kamrup",26.205583,91.963222,Debris,Slide,
121,AS/DIM/83G07/2017/44,Assam,Dima Hasao,Kepre Tongikro Mongjang slide No.13,Approx. 500 m NW of Mongjang.,25.394111,93.410417,Rock cum debris,Slide,
122,ASM/DIM/83C15/2017/06,Assam,Dima Hasao,Vaitongsip,New Sangbar-Kobak road,25.320232,92.818091,Earth,Slide,
123,AS/SON/83B13/2018/2,Assam,Sonitpur,Hoha river  slide,"Phuloguri, Chengelimari area.",26.9231,92.76755,Debris,Slide,
124,AS/DIM/83G07/2017/15,Assam,Dima Hasao,Nkio Prasadimdik slide No.5,Nkio Prasadimdik road section.,25.444194,93.424694,Debris,Slide,
125,AS/KAM/83B4/2015/98,Assam,Kamrup,Enroute Noonmati-3,"En-route Noonmati-3, Kamrup",26.061861,92.147889,Debris,Slide,
126,AS/DIM/83C16/2017/21,Assam,Dima Hasao,Bandarkhal6,NH54,25.054917,92.800333,Soil,Slide,
127,ASM/DH/83C16/2016/50,Assam,Dima Hasao,NH 54 Ritzawl slide (2),"NH 54, 2 km west of Ritzawl village",25.110111,92.998778,Debris,Slide,
128,ASM/DH/83G4/2016/23,Assam,Dima Hasao,Mahur,Mahur,25.176389,93.116139,Debris,Slide,
129,AS/KAR/83F06/2018/4,Assam,Karbi Anglong,DiringLangso slide,Diring,26.59041,93.47616,Debris,Slide,
130,AS/KAM/78O5/2020/2,Assam,Kamrup (Rural),Rajupara slide,East of Rajupara village,25.91,91.4,Debris,Slide,
131,AS/DIM/83G07/2017/47,Assam,Dima Hasao,Kepre-Koladisa-Prasadimdik  slide No.3,Kepre-Koladisa-Prasadimdik   road section,25.453528,93.371194,Debris,Slide,
132,AS/DIH/83G08/2020/43,Assam,Dima Hasao, , Mahur-Toulpui road.,25.2,93.25,Rock,Slide,
133,AS/DIM/83C16/2017/10,Assam,Dima Hasao,Miyunkro1,NH54,25.010379,92.75482,Debris,Slide,
134,ASM/DIM/83C15/2017/14,Assam,Dima Hasao,Gunjang Slide,South to Dehangi (Gunjang-Haflong road),25.395431,92.990267,Earth,Slide,
