Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
MN/NON/83H10/2018/17,Manipur,Noney, ,"Along Imphal-Khuopum road, near Tairenpokpi village.",24.646969,93.672364,,,,Active
MN/TEN/83L03/2018/68,Manipur,Tengnoupal, ,2km west of Modenphai,24.444011,94.173489,,,,Dormant
MAN/SEN/83K03/2015/10,Manipur,Senapati, ,South of Chakumai Village,25.454017,94.124572,,,,Suspended
MN/NON/83H09/2018/67,Manipur,Noney, ,data taken from NH-37,24.854044,93.585331,,,,Active
MN/CHU/83H10/2018/35,Manipur,Churachandpur, ,"Loktak- Leimatak highway, near Charoi-Khullen",24.607528,93.713778,,,,Active
MAN/TAM/83G12/2017/0057,Manipur,Tamenglong, ,Dailong road,25.013472,93.530472,,,,Active
MAN/SEN/83K03/2015/17,Manipur,Senapati, ,South of Maram Khullen,25.416389,94.067894,,,,Reactivated
MN/WEI/83H13/2020/1,Manipur,West Imphal, ,"Langol area, West Imphal",24.84,93.9,,,,Active
MN/TEN/83L03/2018/31,Manipur,Tengnoupal, ,Larong,24.277639,94.127278,,,,Suspended
MAN/TAM/83G12/2017/0114,Manipur,Tamenglong, ,Dailong road,25.124917,93.657333,,,,Active
MN/KAM/83L05/2018/37,Manipur,Kamjong, ,N of Phungyar Village,24.805342,94.322356,,,,Reactivated
MN/NON/83H10/2018/62,Manipur,Noney, ,"NH_37A, Imphal-Khoupum highway",24.641417,93.596611,,,,Active
MN/KAM/83L05/2018/15,Manipur,Kamjong, ,3.5 km NE of Phungyar Village,24.8415,94.361167,,,,Suspended
MN/TAM/83H05/2018/85,Manipur,Tamenglong, ,Kaimai,24.762667,93.255556,,,,Active
MAN/TAM/83G12/2017/0087,Manipur,Tamenglong, ,Dailong road,25.110389,93.624056,,,,Active
MN/KAM/83L06/2018/2,Manipur,Kamjong, ,0.4 km W of Khamlang,24.692373,94.257477,,,,Reactivated
MN/KAM/83L05/2018/42,Manipur,Kamjong, ,6 km N of Phungyar Village,24.842538,94.325233,,,,Reactivated
MN/NON/83H05/2018/20,Manipur,Noney, ,Khongsang,24.83025,93.466972,,,,Active
MN/KAM/83L06/2018/7,Manipur,Kamjong, ,Kasom Khullen,24.676323,94.253976,,,,Reactivated
MAN/SEN/83K03/2015/11,Manipur,Senapati, ,South of Chakumai Village,25.452369,94.128022,,,,Suspended
MN/NON/83H09/2018/31,Manipur,Noney, ,NH-37,24.862444,93.598194,,,,Active
MN/CCP/83H11/2020/3,Manipur,Churachandpur, ,Tulumjang village,24.37,93.5,,,,Active
MN/KAM/83L09/2017/28,Manipur,Kamjong, ,"Chahong 
Khullen",24.956083,94.522278,,,,Active
MN/UKH/83K12/2017/46,Manipur,Ukhrul, ,Chammu,25.09825,94.513778,,,,Active
MN/CDL/84I01/2020/14,Manipur,Chandel, ,Tuitong section,23.95,94.06,,,,Suspended
MN/UKH/83L01/2018/45,Manipur,Ukhrul, ,Sikibung,24.940944,94.201889,,,,Active
MN/NON/83H10/2018/15,Manipur,Noney, ,Along Imphal-Khuopum road.,24.649492,93.679522,,,,Dormant
MN/NON/83H05/2018/65,Manipur,Noney, ,Rengpang,24.751139,93.462806,,,,Active
MAN/UKH/83K08/2015/027,Manipur,Ukhrul, ,Ukhrul Jessami road.,25.126222,94.456278,,,,Active
MN/UKH/83K11/2017/7,Manipur,Ukhrul, ,Chingai,25.316639,94.504278,,,,Active
MN/UKH/83K12/2017/33,Manipur,Ukhrul, ,Mapum,25.082306,94.551722,,,,Active
MN/NON/83H10/2018/7,Manipur,Noney, ,Data taken from Sangji village,24.698392,93.644183,,,,Active
MN/TAM/83H05/2018/91,Manipur,Tamenglong, ,Longjon,24.806806,93.404806,,,,Active
MN/UKH/83K12/2017/2,Manipur,Ukhrul, ,Khamasom,25.181722,94.504917,,,,Active
MN/KAM/83L05/2018/32,Manipur,Kamjong, ,4.4 km SE of Khuntak Awang Village,24.833889,94.346417,,,,Active
MN/KAM/83L05/2018/77,Manipur,Kamjong, ,0.5 km SE of Maku Village,24.949274,94.473427,,,,Reactivated
MN/KAM/83L09/2017/31,Manipur,Kamjong, ,"Chahong 
Khullen",24.948083,94.535556,,,,Stabilized
MAN/SEN/83K03/2015/30,Manipur,Senapati, ,West of New Magamai,25.440961,94.046264,,,,Active
MN/CCP/83H08/2020/24,Manipur,Churachandpur, ,5 km SE Songtal,24.14,93.38,,,,Active
MAN/SEN/83K03/2015/80,Manipur,Senapati, ,Along Sorbung road,25.264639,94.062167,,,,Active
MN/UKH/83L01/2018/16,Manipur,Ukhrul, ,NH 102,24.951444,94.179278,,,,Active
MN/TAM/83H09/2018/15,Manipur,Tamenglong, ,"Below Police Station, New Salem, Tamenglong",24.987583,93.506167,,,,Active
MAN/SEN/83K04/2015/99,Manipur,Senapati, ,ALONG SAIKUL ROAD,25.016375,94.021711,,,,Suspended
MAN/TAM/83G12/2017/0026,Manipur,Tamenglong, ,Govajang road,25.160583,93.7055,,,,Suspended
MAN/SEN/83K04/2015/86,Manipur,Senapati, ,Along Sorbung road,25.236142,94.101983,,,,Suspended
MN/NON/83H09/2018/38,Manipur,Noney, ,NH-37,24.816242,93.523119,,,,Active
MN/CDL/83L04/2020/24,Manipur,Chandel, ,Gamphazol section,24.09,94.15,,,,Active
MAN/SEN/83K03/2015/1,Manipur,Senapati, ,2.5km south of Taphuo Kuki,25.238611,94.009189,,,,Active
MN/TEN/83L03/2018/71,Manipur,Tengnoupal, ,1.5 km west of Modenphai,24.440033,94.184122,,,,Relict
MAN/SEN/83K04/2015/93,Manipur,Senapati, ,Along Sorbung road,25.173056,94.136261,,,,Active
MN/NON/83H10/2018/61,Manipur,Noney, ,"NH_37A, Imphal-Khoupum highway",24.642722,93.602083,,,,Active
MN/NON/83H09/2018/77,Manipur,Noney, ,Kharam to Noney road,24.822953,93.710756,,,,Active
MN/KAM/83L05/2018/19,Manipur,Kamjong, ,0.5 km E of Laushing Village,24.851806,94.366083,,,,Reactivated
MN/KAM/83L05/2018/63,Manipur,Kamjong, ,1.3 km NE of Alang Village,24.831526,94.32757,,,,Suspended
