Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
SKM/NS/78A11/2015/74,Sikkim,North Sikkim, ,North Sikkim Highway,27.426361,88.583028,,,,Active
SKM/NS/78A15/2017/163,Sikkim, East Sikkim, ,SH,27.263278,88.786667,,,,Active
SKM/NS/78A10/2017/229,Sikkim,North Sikkim, ,NH,27.619722,88.618861,,,,Active
SKM/ES/78A12/2015/117,Sikkim, East Sikkim, ,Rorathang-Rongli Road,27.207606,88.676047,,,,Dormant
SKM/WS/78A07/2015/343,Sikkim,West Sikkim, ,Legship-Rishi Road,27.268944,88.2875,,,,Active
SKM/ES/78A11/2015/17,Sikkim, East Sikkim, ,NH-31A,27.255278,88.543611,,,,Active
SKM/NS/78A03/2017/16,Sikkim,West Sikkim, ,SH,27.295444,88.094583,,,,Active
SKM/NS/78A15/2017/146,Sikkim, East Sikkim,Thengu,SH,27.367111,88.776028,,,,Active
SKM/SS/78A08/2015/394,Sikkim,South Sikkim, ,Sikkip-Wak-Namchi Road,27.167611,88.348889,,,,Active
SKM/NS/78A03/2017/23,Sikkim,West Sikkim,Sardong,SH,27.279972,88.186917,,,,Active
SKM/NS/78A04/2017/96,Sikkim,West Sikkim, ,SH,27.1645,88.228444,,,,Active
SKM/SS/78A08/2015/324,Sikkim,South Sikkim, ,Namchi-Kitam Road,27.133806,88.342778,,,,Active
SKM/SS/78A08/2015/226,Sikkim,South Sikkim, ,Namchi-Palum Road,27.126306,88.378667,,,,Suspended
SK/WEST/78A08/2015/0224,Sikkim, West Sikkim, ,1.24km north west of Manjhitar,27.117556,88.323667,,,,Active
 ,Sikkim,East Sikkim,,,27.31663889,88.45861111,Debris,Slide,Landslide incidence has happened on 18th & 19th October 2021.,New Slide
SKM/SS/78A08/2015/200,Sikkim,South Sikkim, ,Kholaghari village Road,27.219444,88.391111,,,,Active
SKM/SS/78A08/2015/222,Sikkim,South Sikkim, ,Sadam-Bhajyang Road,27.133722,88.390833,,,,Active
SKM/SS/78A07/2015/285,Sikkim,South Sikkim, ,Sangmo village Road,27.273083,88.389528,,,,Suspended
SKM/ES/78A11/2015/41,Sikkim, East Sikkim, ,Lingdum Road,27.315028,88.558139,,,,Active
SKM/ES/78A11/2015/410,Sikkim, East Sikkim, ,Changhu_Nathula Road,27.365056,88.655167,,,,Active
SKM/SS/78A07/2015/342,Sikkim,South Sikkim, ,Lingmo village Road,27.366944,88.449806,,,,Active
SKM/NS/78A04/2017/117,Sikkim,West Sikkim, ,SH,27.158972,88.090944,,,,Active
SKM/ES/78A11/2015/67,Sikkim, East Sikkim, ,North Sikkim Highway,27.395639,88.621667,,,,Active
SKM/NS/78A10/2017/168,Sikkim,North Sikkim, ,NH,27.517306,88.542889,,,,Active
SKM/NS/78A11/2015/24,Sikkim,North Sikkim, ,North Sikkim Highway,27.417306,88.622361,,,,Active
SKM/SS/78A12/2015/148,Sikkim,South Sikkim, ,NH-31A,27.22575,88.49325,,,,Active
SKM/NS/78A03/2017/74,Sikkim,West Sikkim, ,SH,27.258778,88.202639,,,,Active
SKM/ES/78A11/2015/136,Sikkim, East Sikkim, ,Changhu_Nathula Road,27.372806,88.739139,,,,Active
SKM/NS/78A03/2017/75,Sikkim,West Sikkim, ,SH,27.260861,88.233278,,,,Active
SKM/WS/78A08/2015/347,Sikkim,West Sikkim, ,legship-Sikkip Road,27.213556,88.321833,,,,Active
SKM/NS/78A11/2015/84,Sikkim,North Sikkim, ,Dikchu-Mangshila Road,27.420028,88.515944,,,,Active
SKM/NS/78A03/2017/21,Sikkim,West Sikkim,Sardong,SH,27.282917,88.189556,,,,Active
SKM/SS/78A08/2015/221,Sikkim,South Sikkim, ,Sadam-Bhajyang Road,27.133556,88.39475,,,,Active
 ,Sikkim,East Sikkim,,,27.28577778,88.5535,Debris,Slide,Date of occurrence : 27.08.2021,Active
SKM/NS/78A04/2017/111,Sikkim,West Sikkim, ,SH,27.171833,88.160861,,,,Active
SKM/WS/78A07/2015/364,Sikkim,West Sikkim, ,Legship-Mayong Road,27.260194,88.302417,,,,Active
SKM/NS/78A03/2017/18,Sikkim,West Sikkim,Som,SH,27.269778,88.144278,,,,Active
SKM/SS/78A08/2015/274,Sikkim,South Sikkim, ,Namchi-Namthang Road,27.161444,88.410556,,,,Active
 ,Sikkim,East Sikkim,,,27.28666667,88.55347222,Rock cum debris,Slide,Slide initiated on 27th August 2021.,Suspended
SKM/WS/78A07/2015/358,Sikkim,West Sikkim, ,Legship-Geyzing Road,27.275917,88.254278,,,,Active
SKM/NS/78A03/2017/28,Sikkim,West Sikkim,Arigown,SH,27.281028,88.227667,,,,Active
SKM/ES/78A11/2015/413,Sikkim, East Sikkim, ,Changhu_Nathula Road,27.380806,88.726,,,,Active
SKM/NS/78A10/2017/230,Sikkim,North Sikkim, ,NH,27.61775,88.623639,,,,Active
SKM/SS/78A08/2015/395,Sikkim,South Sikkim, ,Sikkip-Wak-Namchi Road,27.165278,88.348528,,,,Active
 ,Sikkim,South Sikkim,,,27.17054167,88.38358056,Debris,Slide,may have occurred in the month of May; 2021,Suspended
SKM/NS/78A03/2017/63,Sikkim,West Sikkim, ,SH,27.316583,88.178917,,,,Active
SKM/WS/78A08/2015/270,Sikkim,West Sikkim, ,Namchi-Assangthang Road,27.158222,88.34325,,,,Active
 ,Sikkim,North Sikkim,,,27.69920278,88.56659722,Debris,Slide,Date not available,Suspended
 ,Sikkim,East Sikkim,,,27.23444444,88.49083333,Rock,Slide,No data,Reactivated
SKM/NS/78A10/2017/180,Sikkim,North Sikkim, ,NH,27.5435,88.628306,,,,Active
SKM/SS/78A08/2015/306,Sikkim,South Sikkim, ,Perbing-Chuba Road,27.178111,88.430556,,,,Active
SKM/ES/78A11/2015/65,Sikkim, East Sikkim, ,North Sikkim Highway,27.394,88.62525,,,,Active
SKM/SS/78A12/2015/151,Sikkim,South Sikkim, ,Singtam-Dikchu Road,27.23575,88.507972,,,,Active
SKM/NS/78A15/2017/147,Sikkim, East Sikkim,Thengu,SH,27.37475,88.782889,,,,Active
SKM/WS/78A08/2015/368,Sikkim,West Sikkim, ,Kaluk-Rinchenpong Road,27.243806,88.2725,,,,Active
SKM/NS/78A10/2017/178,Sikkim,North Sikkim, ,NH,27.533722,88.609278,,,,Active
SKM/SS/78A08/2015/223,Sikkim,South Sikkim, ,Sadam-Bhajyang Road,27.131528,88.384417,,,,Suspended
SKM/NS/78A04/2017/71,Sikkim,West Sikkim,Upper Bermiok,SH,27.240389,88.234028,,,,Active
SKM/NS/78A11/2015/09,Sikkim,North Sikkim, ,North Sikkim Highway,27.409861,88.543722,,,,Active
SKM/WS/78A07/2015/365,Sikkim,West Sikkim, ,Kaluk-Rinchenpong Road,27.252167,88.272778,,,,Active
SKM/ES/78A12/2015/33,Sikkim, East Sikkim,East Pendam,-,27.205,88.591722,,,,Active
SKM/SS/78A08/2015/272,Sikkim,South Sikkim, ,Namchi-Namthang Road,27.160194,88.415056,,,,Active
SKM/NS/78A04/2017/119,Sikkim,West Sikkim, ,SH,27.157694,88.092833,,,,Active
 ,Sikkim,Gangtok,,,27.2535,88.54141667,Debris,Slide,The 14th Mile landslide got reactivated in August;2022 and
recent incidence occurred on 7-8th October;2022,Reactivated
 ,Sikkim,Pakyong,,,27.21391667,88.60833333,Debris,Slide,25thAugust 2022.,Active
 ,Sikkim,East Sikkim,,,27.26066667,88.53383333,Rock cum debris,Slide,Slide initiated in September 2021 and again reactivated in the month of October 2021.,Reactivated
SKM/SS/78A08/2015/213,Sikkim,South Sikkim, ,Namchi-Namthang Road,27.166528,88.401333,,,,Active
SKM/SS/78A07/2015/290,Sikkim,South Sikkim, ,Gangla village Road,27.263194,88.377139,,,,Suspended
SKM/NS/78A03/2017/85,Sikkim,West Sikkim, ,SH,27.216361,88.199667,,,,Dormant
SKM/WS/78A07/2015/376,Sikkim,West Sikkim, ,Narkhola Road,27.400278,88.356861,,,,Active
SKM/NS/78A04/2017/123,Sikkim,West Sikkim, ,SH,27.125861,88.14275,,,,Active
SK/WEST/78A03/2015/0226,Sikkim, West Sikkim, , Pelling-Geizing bypass Road,27.298333,88.248306,,,,Active
SKM/SS/78A08/2015/55,Sikkim,South Sikkim, ,Phong-Bermiok Road,27.207039,88.446667,,,,Active
SKM/ES/78A12/2015/163,Sikkim, East Sikkim, ,Namchi-Namthang Road,27.157694,88.522194,,,,Active
SKM/SS/78A07/2015/291,Sikkim,South Sikkim, ,Gangla village Road,27.28425,88.370056,,,,Active
SKM/SS/78A07/2015/192,Sikkim,South Sikkim, ,Ben village Road,27.254917,88.390889,,,,Active
SKM/NS/78A04/2017/102,Sikkim,West Sikkim, ,SH,27.123833,88.225333,,,,Active
SKM/SS/78A07/2015/328,Sikkim,South Sikkim, ,-,27.259306,88.423028,,,,Active
SKM/SS/78A12/2015/170,Sikkim,South Sikkim, ,Namchi-Namthang Road,27.160444,88.512472,,,,Active
SKM/WS/78A08/2015/315,Sikkim,West Sikkim, ,Melli-Jorethang Road,27.110583,88.340472,,,,Active
SKM/NS/78A04/2017/93,Sikkim,West Sikkim,Rishithang,SH,27.217278,88.236944,,,,Active
SKM/SS/78A08/2015/54,Sikkim,South Sikkim, ,Phong-Bermiok Road,27.206611,88.442814,,,,Active
 ,Sikkim,North Sikkim,,,27.5401,88.56929167,Rock cum debris,Slide,From 2019 onwards,Suspended
SKM/SS/78A08/2015/252,Sikkim,South Sikkim, ,Pachekhani-Melli Road,27.102,88.458667,,,,Active
SKM/NS/78A15/2017/160,Sikkim, East Sikkim, ,SH,27.264694,88.792667,,,,Active
 ,Sikkim,East Sikkim,,,27.33941667,88.60990556,Soil,Slide,Date of initiation : 06.06.2021 in the morning.,Dormant
SKM/NS/78A10/2017/225,Sikkim,North Sikkim, ,NH,27.652861,88.607,,,,Abandoned
SKM/NS/78A03/2017/25,Sikkim,West Sikkim, ,SH,27.283444,88.192639,,,,Active
SKM/WS/78A08/2015/319,Sikkim,West Sikkim, ,Melli-Jorethang Road,27.12825,88.292194,,,,Active
SKM/NS/78A10/2017/183,Sikkim,North Sikkim,Tung,NH,27.549306,88.644889,,,,Active
SKM/ES/78A11/2015/42,Sikkim, East Sikkim, ,Lingdum Road,27.313917,88.557583,,,,Active
SKM/NS/78A04/2017/106,Sikkim,West Sikkim, ,SH,27.179278,88.190972,,,,Active
SKM/NS/78A15/2017/148,Sikkim, East Sikkim,Yakla,SH,27.364583,88.787333,,,,Active
SKM/NS/78A10/2017/222,Sikkim,North Sikkim,Bansoi,NH,27.697139,88.57025,,,,Active
 ,Sikkim,Namchi,,,27.09725,88.3825,Debris,Slide,Reactivated in August;2022,Active-Reactivated
SKM/NS/78A04/2017/121,Sikkim,West Sikkim, ,SH,27.149889,88.096861,,,,Active
SKM/ES/78A11/2015/124,Sikkim, East Sikkim, ,Machong-Rongli Road,27.257083,88.696583,,,,Active
SKM/SS/78A08/2015/231,Sikkim,South Sikkim, ,Namchi-Palum Road,27.143556,88.373083,,,,Active
SKM/SS/78A08/2015/195,Sikkim,South Sikkim, ,Namchi-Damthang Road,27.21525,88.402278,,,,Active
SKM/ES/78A11/2015/44,Sikkim, East Sikkim,Sangmoo,Lingdum Road,27.316,88.559889,,,,Active
SKM/NS/78A10/2017/207,Sikkim,North Sikkim, ,NH,27.749111,88.542972,,,,Active
SKM/SS/78A08/2015/279,Sikkim,South Sikkim, ,Namchi-Namthang Road,27.15625,88.430722,,,,Suspended
SKM/ES/78A11/2015/97,Sikkim, East Sikkim, ,-,27.282444,88.598917,,,,Active
 ,Sikkim,East Sikkim,,,27.20258333,88.65547222,Rock,Slide,18-19th October; 2021,Suspended
SKM/SS/78A08/2015/254,Sikkim,South Sikkim, ,Melli-Sumbuk Road,27.084222,88.446083,,,,Active
SKM/ES/78A12/2015/132,Sikkim, East Sikkim, ,Rhenak Road,27.201875,88.667278,,,,Active
SKM/ES/78A11/2015/138,Sikkim, East Sikkim, ,Changhu_Nathula Road,27.375028,88.728278,,,,Active
