Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
MIZ/AIZ/84A09/2016/80,Mizoram,Aizawl, ,Phungchawng section,23.750676,92.679635,,,,Suspended
MZ/SER/84A15/2016/113,Mizoram,Serchhip, ,"South of Hmangkawn, Chawilung - Hmangkawn road",23.477601,92.818801,,,,Active
MZ/AIZ/83D16/2016/84,Mizoram,Aizawl, ,Sailutar village,24.069728,92.918457,,,,Active
MIZ/AIZ/84A13/2016/25,Mizoram,Aizawl, ,~6.5 km S of Khawruhlian towards Sesawng on NH 150,23.883306,92.861917,,,,Active
MZ/AIZ/84A14/2015/113,Mizoram,Aizawl, ,About 17 Km from Seling on SH Seling-Keifang.,23.654361,92.932389,,,,Active
MZ/CHA/84E02/2017/21,Mizoram,Champhai, ,4km w of Hliappui,23.742754,93.094558,,,,Active
MZ/AIZ/84E01/2017/103,Mizoram,Aizawl, ,SuangpuilawnE. Phaileng section,23.961,93.028969,,,,Suspended
MZ/CHA/84E08/2017/18,Mizoram,Champhai, ,FarkawnSamthang Rd,23.151417,93.283077,,,,Active
MZ/SER/84A15/2016/75,Mizoram,Serchhip, ,"Southeast of Sainik School,Chhingchhip, PMGSY Chhingchhip-Hmuntha Road",23.435405,92.871814,,,,Reactivated
MZ/LAW/84B12/2020/35,Mizoram,Lawngtlai,Tuichawngtlang slide,Tuichawngtlang,22.19,92.69,,,,Active
MIZ/AIZ/84A13/2016/9,Mizoram,Aizawl, ,~1km N of Pehlawn at 4 km Kepran milestone,23.92425,92.925222,,,,Active
MZ/CHA/84E03/2017/15,Mizoram,Champhai, ,Khawhai  Khawzawl road,23.425583,93.168278,,,,Reactivated
MZ/SAI/84B15/2018/56,Mizoram,Saiha, ,NH 54,22.427999,92.947998,,,,Active
MZ/SER/84A15/2016/38,Mizoram,Serchhip, ,"Near the Sawing Mill, Bilzel veng, Serchhip, NH-54 Aizawl-Serchhip-Lunglei Road",23.320815,92.854748,,,,Dormant
MIZ/AIZ/84A09/2016/90,Mizoram,Aizawl, ,"Simhui, Airport road",23.798861,92.642417,,,,Suspended
MZ/SAI/84F03/2020/2,Mizoram,Saiha,North of Lower Theira slide,North of Lower Theira,22.41,93.02,,,,Suspended
MZ/CHA/84E02/2017/0088,Mizoram,Champhai, ,3.2km toowards chimluang project road from junction,23.6377,93.066302,,,,Active
MZ/MAM/84A10/2015/128,Mizoram,Mamit, ,"North of Rulpuihlim, SH-Reiek- Mamit-Aizawl",23.712611,92.560444,,,,Reactivated
MZ/LAW/84B12/2020/37,Mizoram,Lawngtlai,Bifurcation from Damdep II slide 2,Bifurcation from Damdep II,22.25,92.62,,,,Suspended
MZ/CHA/84E08/2017/43,Mizoram,Champhai, ,Tiau Road (above Lungkeiphaw river),23.075896,93.315313,,,,Active
MZ/CHA/84E02/2017/0097,Mizoram,Champhai, ,18.5 km E of Saitual,23.708377,93.053261,,,,Active
MZ/CHA/84E01/2017/21,Mizoram,Champhai, ,7.8 km S of Ngopa,23.84461,93.190277,,,,Suspended
MZ/MAM/84A11/2017/140,Mizoram,Mamit, ,"About 1km South of Bawngtha, SH-Aibawk-Darlung- Buarpui-Lunglei Road",23.487102,92.606156,,,,Dormant
MZ/AIZ/84E01/2017/101,Mizoram,Aizawl, ,9.5 km from Thanglailung along PhullenSaitual section,23.797361,93.040916,,,,Suspended
MZ/CHA/83H04/2017/5,Mizoram,Champhai, ,3.5 km milestone to Tuival river from Khawkawn,24.023861,93.248192,,,,Inactive
MZ/CHA/84E07/2017/2,Mizoram,Champhai, ,10 km south of Dilkawn,23.320197,93.285718,,,,Active
MZ/CHA/84E03/2017/20,Mizoram,Champhai, ,Chawntalai  Tualte road,23.445083,93.223889,,,,Active
MZ/KOL/83D15/2020/44,Mizoram,Kolasib,South of  Saiphai slide,South of  Saiphai village,24.4,92.8,,,,Active
