sample_id,lat,lon,elevation,slope_deg,aspect_deg,drainage_density,lithology,landuse,mean_annual_rainfall_mm,label,district,date,landslide_type,area_m2,curvature,distance_to_drainage,terrain_ruggedness
SKM/NS/78A10/2017/189,27.552861,88.622306,1756.3,34.63,203.76,0.0235,,forest,5360.2,1,North Sikkim,,Slide,2600,-0.002737,223.8,49.6
SKM/NS/78A11/2015/80,27.378444,88.541667,1764.8,31.51,330.45,0.0,,forest,6301.5,1,North Sikkim,,Fall,450,0.003964,678.5,44.13
SKM/ES/78A11/2015/14,27.220861,88.657111,1156.5,35.01,348.47,0.0,,forest,4105.2,1,East Sikkim,,Slide,30,0.009036,489.1,52.14
SKM/ES/78A11/2015/99,27.329472,88.648917,1403.1,18.41,29.21,0.2118,,forest,5117.0,1,East Sikkim,,Slide,105,0.006692,29.4,28.95
SKM/WS/78A08/2015/264,27.144167,88.311083,1160.2,33.21,195.32,0.0,,forest,3757.7,1,West Sikkim,,Fall,1800,0.011102,827.6,48.41
SKM/WS/78A08/2015/317,27.126472,88.31675,353.1,33.63,210.54,0.0706,,forest,3727.7,1,West Sikkim,,Slide,3000,0.011397,251.1,50.12
 ,27.281194,88.589528,979.1,34.4,59.01,0.0,,forest,5425.5,1,East Sikkim,"Slide occurred between 11-12 June, 2022.",,,-0.0054,408.3,49.75
SKM/SS/78A08/2015/314,27.124778,88.445083,624.7,33.66,14.56,0.3176,,forest,3885.7,1,South Sikkim,,Slide,5500,0.005733,88.2,48.64
SKM/SS/78A08/2015/320,27.122611,88.343389,912.8,32.76,195.08,0.0,,forest,3891.2,1,South Sikkim,,Slide,1500,-0.013194,706.5,47.41
SKM/ES/78A12/2015/104,27.190067,88.596483,451.8,36.3,130.03,0.2235,,grassland,3733.7,1,East Sikkim,,Slide,4340,0.009264,65.7,55.13
SKM/NS/78A10/2017/190,27.547111,88.602667,1734.5,31.41,94.93,0.1059,,forest,6103.2,1,North Sikkim,,Slide,3000,0.01009,213.9,45.88
SKM/NS/78A10/2017/186,27.554889,88.654444,1453.7,37.28,113.71,0.2353,,forest,4454.0,1,North Sikkim,,Slide,4000,0.002162,131.4,54.81
SKM/NS/78A03/2017/43,27.251722,88.182972,1429.5,26.01,316.54,0.0,,forest,5943.7,1,West Sikkim,,Slide,1000,0.00607,440.8,35.99
SKM/WS/78A08/2015/383,27.128972,88.262111,420.1,38.14,148.38,0.2353,,forest,3444.7,1,West Sikkim,,Slide,3000,0.008746,106.0,56.76
 ,27.393056,88.635278,1576.1,35.04,181.15,0.0588,,grassland,5750.0,1,North Sikkim,Date of initiation: Mid-July 2018 subsequent reactivations (02/08/2018) and (24/05/2020).,,,0.000749,249.4,51.39
SKM/NS/78A10/2017/184,27.550917,88.646056,1355.9,36.4,182.16,0.2,,forest,4635.8,1,North Sikkim,,Slide,9600,0.010474,117.6,53.68
SKM/SS/78A08/2015/205,27.215056,88.393306,1549.5,34.21,321.09,0.3294,,forest,4758.7,1,South Sikkim,,Slide,2000,0.018015,29.4,50.65
SKM/NS/78A03/2017/57,27.33075,88.216333,1460.7,29.89,42.95,0.0,,forest,4788.0,1,West Sikkim,,Slide,900,0.012159,520.8,44.1
SKM/NS/78A04/2017/88,27.219444,88.234361,1294.3,32.91,134.56,0.0,,forest,5366.6,1,West Sikkim,,Slide,4800,0.007325,289.4,46.8
SKM/NS/78A03/2017/15,27.296028,88.10175,1999.9,26.88,84.47,0.0,,forest,3407.5,1,West Sikkim,,Slide,35,-0.022246,344.0,41.93
SKM/WS/78A08/2015/374,27.191917,88.2885,1270.0,38.69,190.09,0.0,,forest,3827.5,1,West Sikkim,,Slide,4000,-0.005362,541.9,58.09
SKM/SS/78A08/2015/248,27.096444,88.433375,883.7,31.8,149.73,0.0,,forest,3703.7,1,South Sikkim,,Slide,300,0.000667,725.8,44.81
SKM/WS/78A07/2015/359,27.284139,88.264889,1058.8,32.44,136.52,0.0235,,forest,4459.5,1,West Sikkim,,Slide,500,0.006288,223.8,47.76
SKM/NS/78A11/2015/83,27.411306,88.516611,592.5,40.6,237.9,0.2706,,water,6724.9,1,North Sikkim,,Slide,4000,0.027601,58.8,69.51
SKM/NS/78A10/2017/177,27.531667,88.606333,1446.6,40.74,252.62,0.0941,,forest,5923.3,1,North Sikkim,,Slide,4000,-0.006771,188.2,61.9
SKM/NS/78A11/2015/74,27.426361,88.583028,1656.7,25.5,171.43,0.2118,,forest,6336.1,1,North Sikkim,,Slide,400,-0.002751,29.4,34.25
SKM/NS/78A15/2017/163,27.263278,88.786667,3378.1,39.97,253.5,0.0,,built-up,3995.3,1,East Sikkim,,Slide,800,-0.008151,570.6,60.76
SKM/NS/78A10/2017/229,27.619722,88.618861,1803.1,46.42,69.41,0.1294,,grassland,4562.4,1,North Sikkim,,Slide,13200,0.019833,124.7,77.76
SKM/ES/78A12/2015/117,27.207606,88.676047,722.6,32.14,5.01,0.2,,forest,3939.0,1,East Sikkim,,Fall,700,-0.01209,58.8,46.75
SKM/WS/78A07/2015/343,27.268944,88.2875,590.0,48.67,55.76,0.1294,,built-up,4416.8,1,West Sikkim,,Slide,3500,0.011655,124.7,81.61
SKM/ES/78A11/2015/17,27.255278,88.543611,631.6,42.3,139.14,0.1412,,forest,5652.4,1,East Sikkim,,Slide,80,-0.013954,131.4,66.61
SKM/NS/78A03/2017/16,27.295444,88.094583,2086.1,39.95,177.31,0.0,,forest,3280.8,1,West Sikkim,,Slide,150,-0.008379,441.8,61.05
SKM/NS/78A15/2017/146,27.367111,88.776028,3901.2,28.07,139.36,0.0,,grassland,3564.1,1,East Sikkim,,Slide,3000,-0.001041,484.7,39.56
SKM/SS/78A08/2015/394,27.167611,88.348889,1094.7,38.6,237.6,0.0,,forest,4140.4,1,South Sikkim,,Slide,600,0.025496,335.1,60.04
SKM/NS/78A03/2017/23,27.279972,88.186917,1736.6,34.92,142.34,0.0,,built-up,5597.4,1,West Sikkim,,Slide,6,-0.023938,470.2,54.26
SKM/NS/78A04/2017/96,27.1645,88.228444,1422.5,35.3,75.04,0.0,,forest,5308.6,1,West Sikkim,,Slide,900,-0.003994,1029.0,50.33
