latitude,longitude,district,label,elevation,slope,curvature,distance_to_drainage,land_cover_class,landcover_bare_sparse_vegetation,landcover_built_up,landcover_cropland,landcover_grassland,landcover_tree_cover,landcover_water
25.008912876990102,92.75349750530962,Cachar,0,133.8571319580078,21.322629928588867,-0.2544015347957611,365.284219044355,tree_cover,0,0,0,0,1,0
24.962445389097482,92.63910192240243,Cachar,0,19.372026443481445,0.20624054968357086,0.05880594626069069,28.699438705188403,cropland,0,0,1,0,0,0
24.559485504356076,92.95442835493249,Cachar,0,31.831262588500977,3.396091938018799,-0.02949652634561062,28.699438705188403,tree_cover,0,0,0,0,1,0
24.970845044806936,93.01684724497773,Cachar,0,102.19647979736328,10.08556842803955,-0.6522952318191528,57.398877410376805,tree_cover,0,0,0,0,1,0
24.940206247574125,92.66160143025999,Cachar,0,22.037050247192383,10.269350051879883,-0.3663172423839569,64.17389586088981,tree_cover,0,0,0,0,1,0
24.972281582028607,92.67497736522206,Cachar,0,25.12735939025879,7.0337066650390625,-0.2657957077026367,128.34779172177963,cropland,0,0,1,0,0,0
25.014471111334924,92.46570940624126,Cachar,0,22.16775131225586,5.586027145385742,0.08164713531732559,57.398877410376805,cropland,0,0,1,0,0,0
24.62698536297699,92.81307458649486,Cachar,0,36.929420471191406,5.568690299987793,1.0725624561309814,57.398877410376805,tree_cover,0,0,0,0,1,0
24.93764194305752,92.92241053270904,Cachar,0,25.84539222717285,6.789674282073975,-0.266854465007782,40.58713544937278,tree_cover,0,0,0,0,1,0
25.011865098995074,92.48552481255702,Cachar,0,83.51307678222656,28.375513076782227,-0.47769850492477417,349.1437407930209,tree_cover,0,0,0,0,1,0
24.92347165534665,93.05722652715602,Cachar,0,30.5,1.333817720413208,-0.16166308522224426,28.699438705188403,bare_sparse_vegetation,1,0,0,0,0,0
24.636738099717512,92.80862706794228,Cachar,0,46.62565612792969,10.957562446594238,1.0778690576553345,143.497193525942,tree_cover,0,0,0,0,1,0
25.0153186339339,92.74472739801301,Cachar,0,89.8512191772461,21.9427547454834,1.7029770612716675,162.34854179749112,tree_cover,0,0,0,0,1,0
24.926765297703646,92.81118966962542,Cachar,0,59.944915771484375,1.9494683742523193,0.05412266403436661,114.79775482075361,built_up,0,1,0,0,0,0
